评论内容,情感得分
既然有家长抵制统一科普性教育，那就自己买来自己教吧，保护好自己的孩子,4.8268042562908
性教育并不羞羞，孩子应该从小了解自己的身体结构，有利于身心健康,3.8463085980109
其实我更希望能加大对这个犯罪的惩罚力度！！！,-0.429575477195
很棒，有用，转起,0.773650559771
性教育是必须的，但孩子懂得性知识，并不能代表他们就有能力拒绝侵害。,3.9556444869589003
强奸罪，直接没收作案工具！ 性盛至灾，割以永治！,-1.36500727354
收到，谢谢性教育从娃娃抓起，让他们能够认识自我，爱护自己的身体，培养健康的心理。,8.9944516282316
早！转给更多父母,2.0589695230130003
想起一句话：你嫌给孩子性教育太早？性侵者可不会嫌你的孩子太小！麻烦把90后禁毒和消防安全的系列宣传片继续给00后/10后用起来我们小时候可是当恐怖片来看的hhhh,2.272002650406399
打算买第二本给6岁的儿子看，也推荐给朋友了，大家都重视教育，变态也就少了,0.6278810433707004
??《善解童贞》系列也很好,2.51361577117
性教育没什么不好意思的，你是羞于此，那些混蛋可不会觉得羞,-2.5176575039505003
为了更好的保护孩子[加油],3.9806301027203
要是能让坏人做到不害人，这个社会该是多么美好,-2.198056337502
很实用的分享,8.59687979901
转起！实用！,6.605938918128
我想全套买入，在哪里可以购买？,6.931403410669001
马住，还是要重刑一起跟上,-1.1081519628760002
与其让好奇宝宝从别的途径探索质量得不到保障的性知识，不如教师和家长主动进行性教育，告知孩子科学的性教育，帮助孩子树立良好的性观念。,5.3901146432498
看完不知道说些什么， 这三位是用了很大的勇气说出来。,-0.8472274908659
希望严惩性侵儿童的禽兽。,-3.3930935399399997
家长要从小对孩子进行性教育，毕竟很多话题还是比较私密，不适合学校在课堂上讲……洗澡游泳如厕，孩子青春期发育时，随时想起，随时发现，即时进行教育引导。但是很多家长缺乏这种意识，比如孩子大了还穿开裆裤，随意在路边小便,2.403196367943999
性教育要从孩子很小的时候就开始，让孩子学会保护自己，绝对是家长的责任。但有时候犯罪分子太狡猾、残酷和心理阴暗，即使孩子再小心谨慎，也未必逃得过魔掌，这种情形下，家长、幼儿园、学校、我们的法律制度和执法部门就要在事后各负起职责（安抚开导、心理治疗等），更重要将犯罪分子绳之于法）,-21.6856493118031
推荐一本书吧，《藏在书包里的玫瑰》，这是有关性教育的一本书，很有意义。,7.5656996850756
中国是文化国.不能随便说男女那个事儿,0.08100615184600002
好可怜，好心疼，但长大后的他们也很勇敢。,1.1946303130599998
坏人太可恨了，一定会有报应 ！！,-9.186087625005001
其实儿童那么小，即使知道了他们能反抗有些渣渣大人们的罪行么？答案是否定的，我只是希望制定严格的法律法规，比如化学阉割，才能有效的震慑这种伤害,-4.889811125074
性教育对于小孩子来说和其他方面的知识没有什么区别，唯有那些想歪了的家长才会觉得太黄色,1.4024110049406002
记得因为有教材提及了这方面内容，有家长激烈抗议，最后教材不让用了,-0.3280910957954999
作为个女生，从小到大不可能都没遇到过变态，就说我吧，以前都是楼房没有小区，巷子里都是很暗的，我就遇到过色狼，还好自己挣脱了，还好遇到一个同栋楼男孩子走出来了，那时候我读初一，隐影就是每次回家我都害怕，小巷子再也不敢走，回家用跑的！所以看到油腻中年男我就觉得是色狼,-8.350996814469298
以前的教育科本都下架了，说孩子被欺负的是家长，被迫下架教材的还是家长，要怎样！要怎样！,-4.3338983237237
门里是一种沉默 一种严酷的沉默 于是合法的好奇心变成不合法的好奇心了 狂热的色情暗暗生长 本来没有色情的地方也起了色情 阴沟的方法正在流传着,1.3965704862758
男孩说的那句真的好残忍，施暴方可以当什么都没发生一样正常生活，但被伤害的人却很可能不可以,-3.8840906938539996
小时候的经历是无法磨灭的。也会伴随一生,2.509097512712
“我做错了什么？”“不是你的错。”,-1.7505709372576
强调父母的问题？父母那一代受过正规的性教育吗？,2.5471743018156
性教育在社会教育，学校教育和家庭教育每一个环节都缺失，责任在谁？,-0.8803518249544
早些给孩子做性教育，提高自我保护意识,1.2999404532999
空白 需重视！,0.5725659453020002
早点科普，严惩恶人，不要让孩子们受到伤害，背负压力。,-5.020275619350399
性教育应该重视并且科学普及,0.11789502819360001
“文不雅驯，先生难言之”用这句话来说性教育，差不多吧,-1.1275307221984001
家庭教育更重要,0.0
蓄谋已久的计划，钻了法律的空子,-0.651016019427
尼玛，恋童癖、禽兽要维权了啊,-5.95810014845
妈的一字一句都在钻法律的空子,-1.677083887896
他还想维权？维他妈的权？,-3.886389856934
没有反转，性侵小姑娘是事实，无论小姑娘之前怎么想的，小姑娘的妈妈怎么想的，他是一个恋童变态的事情不会有反转，等反转的是与恋童癖共情了吧,-5.172215540313
没觉得她妈妈问题也很大吗。我觉得这样的妈更恐怖,-3.5654490386439996
全篇有一句人话吗？,0.0
这个回应也太无耻了。,-1.49272318674
一个正常的成年男人，当看到未成年小女孩靠近过来，就该主动躲开。,-0.006160760247999941
真是扑朔迷离啊，只有当事人知道，不过有一点鲍某40多不结婚和未成年人发生关系本身就是变态死不足惜，无论是不是自愿。,-1.4843402784761297
他就算是圈养别人也是坏心,-0.321828811037
这说法简直匪夷所思,-2.009551032758
funny mud go pee,3.201920806328
到了年龄办结婚手续？？？,-1.4312975847790002
还他妈洗呢，我呸,-1.810255297509
他果然懂得言多必失的道理，不敢多说，毕竟谎言说多了难圆！,-1.032965008671
这个剧本它一早就谋划好了,0.35625510621299994
